,Location,Book_Title,Book_Author,Publisher,Book_Rating,user_id,ISBN,Cluster
0,528,2419,4171,718,9,56,679865691,2
1,1859,6325,3564,718,8,78,394895894,3
2,901,1960,2051,1214,8,99,312261594,3
3,1402,5154,4193,1392,9,114,446608653,3
4,1887,5210,2011,1392,5,165,446612545,3
5,2062,7438,4902,1465,10,183,16560,0
6,2062,7438,4902,1465,7,183,18678,0
7,2062,7438,4902,1465,8,183,75666,0
8,2062,7266,3389,768,6,183,2147483647,4
9,2062,7266,3389,768,10,183,2147483647,4
10,2062,7266,3389,768,9,183,2147483647,4
11,1704,7438,4902,1465,7,232,7123817,0
12,2865,2301,2356,338,7,247,435272683,3
13,1637,6676,3463,549,8,254,38097827,0
14,1637,1659,3463,310,9,254,156389226,0
15,1637,4309,3612,1182,4,254,373243979,3
16,1637,2404,1882,1149,9,254,439064872,3
17,1637,7438,4902,1465,8,254,553263633,3
18,1637,5834,3302,758,7,254,681415207,2
19,1637,5501,3785,1236,9,254,1931081727,4
20,458,3894,3178,1213,4,302,312988699,3
21,1221,342,4224,1114,8,334,1573228737,1
22,1742,5815,1262,1369,9,388,679725393,2
23,1742,4270,1331,1114,5,388,1573225126,1
24,177,7438,4902,1465,9,392,847592543,2
25,177,7266,3389,768,7,392,2147483647,4
26,2060,3805,380,933,8,424,805063897,2
27,783,7438,4902,1465,10,503,805009086,2
28,2060,1726,2999,333,7,508,440122090,3
29,2239,7438,4902,1465,9,596,671808672,2
30,1667,7266,3389,768,6,614,2147483647,4
31,2564,5278,723,428,7,620,449245691,3
32,1548,7266,3389,768,9,625,2147483647,4
33,1548,7266,3389,768,10,625,2147483647,4
34,1000,7266,3389,768,7,626,2147483647,4
35,1000,7266,3389,768,9,626,2147483647,4
36,2236,392,4735,377,9,638,52594463,0
37,2236,5447,3715,961,10,638,140128107,0
38,2236,5986,121,747,10,638,316666343,3
39,2236,182,2049,361,10,638,385500769,3
40,2236,2427,3175,1161,9,638,743230051,2
41,2236,3387,4690,1201,9,638,1570717257,1
42,1019,7438,4902,1465,8,643,6510345,0
43,1019,579,3745,415,5,643,57120354,0
44,1019,6689,994,830,8,643,185479549,0
45,1019,7438,4902,1465,8,643,190178424,0
46,1019,2579,3803,936,7,643,198604025,0
47,1019,1827,2999,922,8,643,752804510,2
48,1019,3129,1816,465,8,643,2070322068,4
49,2602,6524,855,1429,8,683,517201658,3
50,2151,6893,3837,1154,4,709,439221730,3
51,1926,7438,4902,1465,9,711,330367358,3
52,624,2337,2378,662,7,735,440222818,3
